film,221
,8
also,20
called,13
movie,20
motion,24
picture,12
moving,12
photoplay,2
work,4
visual,11
art,11
simulates,1
experiences,1
otherwise,1
communicates,1
ideas,1
stories,1
perceptions,1
feelings,1
beauty,1
atmosphere,1
use,5
images,22
generally,5
accompanied,1
sound,17
rarely,2
sensory,1
stimulations1,1
word,5
cinema,15
short,6
cinematography,2
often,22
used,27
refer,5
filmmaking,10
industry,18
form,6
result,6
recording,7
transmission,1
created,8
photographing,4
actual,2
scenes,5
motionpicture,2
camera,11
drawings,1
miniature,1
models,1
using,11
traditional,4
animation,22
techniques,7
means,5
cgi,1
computer,6
combination,2
effects,6
introduction,6
digital,16
production,26
series,9
still,9
recorded,10
strip,3
chemically,2
sensitized,1
celluloid,5
photographic,6
stock,6
usually,18
rate,2
24,3
frames,10
per,4
second,4
transmitted,1
projector,5
geneva,1
drive,1
ensuring,1
frame,3
remains,1
projection,10
time,4
rotating,1
shutter,1
causes,2
stroboscopic,3
intervals,2
darkness,1
viewer,3
notice,1
interruptions,1
due,10
flicker,1
fusion,1
apparent,1
screen,11
fact,1
sense,1
cannot,2
discern,1
individual,3
high,3
speeds,2
impressions,1
blend,1
dark,1
thus,3
linked,2
together,4
produce,7
illusion,2
one,16
image,4
analogous,1
optical,1
soundtrack,4
graphic,2
spoken,1
words,2
music,5
sounds,2
runs,1
along,4
portion,1
exclusively,1
reserved,1
projected,5
contemporary,1
films,93
fully,1
entire,3
process,10
distribution,12
exhibition,3
etymology,1
name,3
originally,4
referred,2
thin,1
layer,1
photochemical,3
emulsion2,1
medium,13
displaying,2
pictures,20
many,11
terms,5
exist,3
including,6
show,6
flick,1
common,4
term,4
united,6
states,6
europe,2
preferred,2
archaic,1
include,7
animated,4
photography,8
field,2
general,2
big,1
silver,2
movies,20
last,2
commonly,1
overarching,1
scholarly,2
texts,2
critical,2
essays,1
early,15
years,2
sheet,2
sometimes,9
instead,1
history,4
precursors,1
drawn,3
several,7
earlier,4
traditions,1
fields,6
oral,1
storytelling,3
literature,1
theatre,4
arts,1
forms,2
entertainment,4
already,3
featured,1
andor,1
shadowgraphy,1
probably,3
since,11
prehistoric,2
times,2
obscura,1
natural,3
phenomenon,2
possibly,2
artistic,6
aid,1
shadow,1
puppetry,1
originated,1
around,3
200,1
bce,1
central,2
asia,1
india,1
indonesia,1
china,1
magic,2
lantern,1
developed,6
1650s,1
multimedia,2
phantasmagoria,1
shows,4
utilized,1
lanterns,1
popular,3
1790,1
throughout,2
first,15
half,2
19th,2
century,5
could,8
feature,8
mechanical,1
slides,1
rear,1
mobile,2
projectors,4
superimposition,1
dissolving,1
views,1
live,2
actors,9
smoke,1
project,4
